"","week_num","product_analytic_sub_category","total_gmv","total_units","no_of_orders","total_payment_cod","total_payment_prepaid","avg_sla","avg_product_mrp","avg_product_procurement_sla","avg_discount","avg_unitPrice","Total.Investment","TV","Digital","Sponsorship","Content.Marketing","Online.marketing","Affiliates","SEM","Radio","Other","spl_days","NPS"
"55",20,"GamingAccessory",2238710.5,3114,3048,2539,509,6.35236220472441,1664.59547244094,2.58202099737533,41.9666338582677,716.770177165354,11.9466666666667,0.98,0.303333333333333,3.31333333333333,0.0466666666666667,4.57333333333333,1.54,1.21333333333333,0,0,5,10.9666666666667
"56",20,"HomeAudio",3990879,2026,2004,1581,423,6.74201596806387,3388.05439121756,2.45708582834331,33.7671856287425,1980.05489021956,11.9466666666667,0.98,0.303333333333333,3.31333333333333,0.0466666666666667,4.57333333333333,1.54,1.21333333333333,0,0,5,10.9666666666667
"57",21,"CameraAccessory",3879267.00108554,3173,3075,2353,722,6.17983739837398,2345.92390243902,2.88260162601626,45.597925203252,1239.96650441806,11.9466666666667,0.98,0.303333333333333,3.31333333333333,0.0466666666666667,4.57333333333333,1.54,1.21333333333333,0,0,0,10.9666666666667
"58",21,"GamingAccessory",2061211,2632,2544,2134,410,5.80070754716981,1804.8215408805,2.67059748427673,42.8078066037736,781.21108490566,11.9466666666667,0.98,0.303333333333333,3.31333333333333,0.0466666666666667,4.57333333333333,1.54,1.21333333333333,0,0,0,10.9666666666667
"59",21,"HomeAudio",3970918.5,1861,1845,1515,330,5.98157181571816,3752.2487804878,2.68021680216802,34.6411544715447,2141.60352303523,11.9466666666667,0.98,0.303333333333333,3.31333333333333,0.0466666666666667,4.57333333333333,1.54,1.21333333333333,0,0,0,10.9666666666667
"60",22,"CameraAccessory",5118381,3387,3312,2549,763,6.48490338164251,2724.02234299517,2.96618357487923,42.575422705314,1532.22463768116,13.681935483871,1.0141935483871,0.36,4.66903225806452,0.0754838709677419,4.6458064516129,1.53935483870968,1.40129032258065,0,0,0,10.8774193548387
"61",22,"GamingAccessory",2771691,3898,3775,3112,663,5.93377483443709,1943.36503311258,2.69748344370861,44.6628264900662,719.914437086093,13.681935483871,1.0141935483871,0.36,4.66903225806452,0.0754838709677419,4.6458064516129,1.53935483870968,1.40129032258065,0,0,0,10.8774193548387
"62",22,"HomeAudio",3848515.5,1947,1931,1553,378,6.44432936302434,3223.29000517866,2.55567063697566,33.4441066804764,1982.93966856551,13.681935483871,1.0141935483871,0.36,4.66903225806452,0.0754838709677419,4.6458064516129,1.53935483870968,1.40129032258065,0,0,0,10.8774193548387
"63",23,"CameraAccessory",5650250,3694,3614,2738,876,6.26425013835086,2728.49889319314,2.91837299391256,44.8979690094079,1547.06115107914,24.0935483870968,1.21935483870968,0.7,12.8032258064516,0.248387096774194,5.08064516129032,1.53548387096774,2.52903225806452,0,0,0,10.341935483871
"64",23,"GamingAccessory",2941866,3700,3602,3053,549,5.96557468073293,1816.09078289839,2.69183786785119,42.4766851749028,800.906440866185,24.0935483870968,1.21935483870968,0.7,12.8032258064516,0.248387096774194,5.08064516129032,1.53548387096774,2.52903225806452,0,0,0,10.341935483871
